Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
97154baf-6a16-4ef9-988a-54185957c817,jigawa,roni,sankau_primary_health_centre,Data-backup,Manual data-backup capability,,none recorded
97154baf-6a16-4ef9-988a-54185957c817,jigawa,roni,sankau_primary_health_centre,Mobile-network feasibility,Network extension required,,none recorded
ec765aa8-7db5-468a-a228-f46dbd73ded9,oyo,oluyole,idi_ayunre_primary_health_centre,Backup-power,"Grid and functional backup are available, but backup runtime is below 9 hours",,none recorded
ec765aa8-7db5-468a-a228-f46dbd73ded9,oyo,oluyole,idi_ayunre_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
ec765aa8-7db5-468a-a228-f46dbd73ded9,oyo,oluyole,idi_ayunre_primary_health_centre,Data-backup,Manual data-backup capability,,none recorded
62097169-76f9-4f06-ad85-fa76ea167271,oyo,oluyole,oja_ibadan_primary_health_centre,Backup-power,"Grid and functional backup are available, but backup runtime is below 9 hours",,none recorded
62097169-76f9-4f06-ad85-fa76ea167271,oyo,oluyole,oja_ibadan_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
62097169-76f9-4f06-ad85-fa76ea167271,oyo,oluyole,oja_ibadan_primary_health_centre,Data-backup,Manual data-backup capability,,none recorded
62097169-76f9-4f06-ad85-fa76ea167271,oyo,oluyole,oja_ibadan_primary_health_centre,Mobile-network feasibility,Network extension required,,none recorded
460f8008-092d-4253-b53d-df02b1f95a57,bauchi,darazo,kwankiyel_primary_health_centre,Backup-power,Only one usable power pathway is confirmed,,none recorded
460f8008-092d-4253-b53d-df02b1f95a57,bauchi,darazo,kwankiyel_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
460f8008-092d-4253-b53d-df02b1f95a57,bauchi,darazo,kwankiyel_primary_health_centre,Mobile-network feasibility,No serviceable mobile pathway,,none recorded
495c26b5-e13b-464b-be10-5fe03e7c4c8c,bauchi,darazo,lago_primary_health_centre,Backup-power,Only one usable power pathway is confirmed,,none recorded
495c26b5-e13b-464b-be10-5fe03e7c4c8c,bauchi,darazo,lago_primary_health_centre,Backup-connectivity,No backup internet option confirmed,,none recorded
495c26b5-e13b-464b-be10-5fe03e7c4c8c,bauchi,darazo,lago_primary_health_centre,Mobile-network feasibility,No serviceable mobile pathway,,none recorded
