facility_uuid,state,lga,facility,domains_with_a_major_gap
ac363225-249a-4d83-b220-2037bb99eacc,jigawa,birnin_kudu,bamaina_primary_health_centre,Workflow and Transition
eb1cde2e-9b8c-45fd-aa50-69179fbb0a60,anambra,onitsha_north,st_mark_primary_health_centre,Workforce Capacity; Workflow and Transition
05c2426c-1c8e-465f-b403-46472068d287,anambra,orumba_south,ezira_primary_health_centre_os,Workforce Capacity
09ce2b33-27de-487a-b5bb-a473854eb9f6,nasarawa,obi,obi_1_primary_health_centre,Workflow and Transition
a26e04a7-39b3-4324-996d-02972ea69dc6,adamawa,yola_south,lamido_aliyu_health_centre,Workflow and Transition
6430b249-5922-4945-8ce7-158fe46768b6,jigawa,buji,madabe_primary_health_centre,Data Use and Reporting
b71789e3-b29d-4bfb-a6df-a103d7940f2b,anambra,onitsha_north,basic_court_road_primary_health_centre,Workforce Capacity; Workflow and Transition
8389a256-bf95-47b6-857b-ad66a0c990ed,adamawa,fufore,dasin_primary_health_centre,Workforce Capacity; Workflow and Transition
9d21d48e-0bbe-4453-b29c-91769a1f7dd6,kano,kumbotso,shekar_barde_primary_health_centre,Workflow and Transition
daf83d33-a755-41f0-af50-485c58badb9b,kano,rogo,fulatan_basic_health_clinic,Workflow and Transition
b9173f13-388a-40ed-91c7-77647a83b1c2,kano,rogo,kauyen_liman_health_clinic,Workflow and Transition
9a3a25b5-9732-4c3a-9add-165a575e89da,kano,gabasawa,zakirai_primary_health_centre,Workforce Capacity
44a046dd-4a14-466f-afa2-81002da979dd,jigawa,kiri_kasamma,saleri_primary_health_centre,Workflow and Transition
c0dbc553-3661-400d-941e-ee757df86b0b,anambra,onitsha_north,woliwo_primary_health_centre,Workforce Capacity; Workflow and Transition
21291f5d-3964-41c6-a95d-1239db60525d,kano,bagwai,romo_health_clinic,Workflow and Transition
058f34d8-6db3-424f-851a-ae115bacb7af,kano,bagwai,kwajale_health_post,Workforce Capacity; Workflow and Transition
2d69e62e-c57f-4ab4-b376-5ebda214978b,kano,bichi,muntsira_health_post,Workforce Capacity; Workflow and Transition
3ee57ebf-aea6-45b4-9f1f-a2492152d83a,jigawa,buji,falgeri_primary_health_centre,Data Use and Reporting
42c07ae5-b790-4f9c-b21c-95455f347d78,kano,warawa,danlassan_primary_health_centre,Workflow and Transition
178c0fa7-a9e0-455f-b450-b1c058b7f2d6,kano,shanono,kadamu_model_primary_health_centre,Workforce Capacity; Workflow and Transition
bb3217bd-3b90-43cc-98d9-53e665791570,adamawa,mayo_belwa,mayo_farang_primary_health_centre,Workflow and Transition
7e26eddf-7981-445b-9080-bacf8128a872,kano,rogo,beli_basic_health_clinic,Workflow and Transition
cc77b377-ddf4-4b1f-a568-0cdb4b3e7e8c,kano,kumbotso,panshekara_primary_health_centre,Workflow and Transition; Data Use and Reporting
b06e9402-2d8a-49ff-8489-543f1c55f02f,kano,kumbotso,chiranci_basic_health_clinic,Workflow and Transition; Data Use and Reporting
f5bf4aea-0fa6-4107-991e-093f423958c0,kano,bagwai,kiyawa_basic_health_clinic,Workforce Capacity; Workflow and Transition
5d33c803-9b11-4dba-bbb0-0fa4d7f2f3e6,kano,warawa,ganakakum_health_post,Workforce Capacity; Workflow and Transition
69926591-683c-4935-8463-750240d2e27b,kano,warawa,tanagar_health_post,Workforce Capacity; Workflow and Transition
