facility_uuid,state,lga,facility,service_point_gap
38ff695b-fa90-4bf5-8342-017ea2839a59,anambra,awka_north,achalla_maternal_and_child_health,0% of applicable service points meet all minimum conditions
bd70b4b5-02fc-42bf-947d-39864c350310,oyo,iseyin,isalu_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
71a79939-8f95-4721-8b54-09cb46249486,imo,aboh_mbaise,enyiogugu_primary_health_centre,0% of applicable service points meet all minimum conditions
e6459f5a-72ae-4845-9077-a84eaad9ab95,oyo,iseyin,opopooloro_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
9febffcc-6ff6-4d4f-a4d1-f70d049a8320,bauchi,katagum,madangala_health_clinic,0% of applicable service points meet all minimum conditions
447f3468-db8c-40c2-bc4c-5cbc7d585837,bauchi,misau,saibure_primary_health_centre,0% of applicable service points meet all minimum conditions
71b417c4-ba54-41d2-bbfb-9fef32e4c5e8,bauchi,misau,hardawa_primary_health_centre,0% of applicable service points meet all minimum conditions
73b6b09b-26ff-4a0a-9b91-6548ae315e2b,bauchi,misau,gwaram_primary_health_centre_misau,1%–49% of applicable service points meet all minimum conditions
bbd58336-0d49-4815-bb50-a7723bb35934,anambra,awka_north,isuaniocha_primary_health_centre,0% of applicable service points meet all minimum conditions
0dd0fe66-52f6-4fdc-bbe9-d425eff8bd8b,anambra,awka_north,okukwa_amansea_primary_health_centre,0% of applicable service points meet all minimum conditions
2be7e62e-3f7b-41b5-84f0-60010cdd9b36,anambra,awka_north,ebenebe_1_ofuobi_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
00028514-2273-4425-9974-32c176c729c9,adamawa,michika,wabilimi_maternal_and_child_health,50%–74% of applicable service points meet all minimum conditions
736d27cc-daa9-48ff-b4f2-43d4e83d93fd,kano,tsanyawa,yankamaye_sabon_gari_basic_health_clinic,1%–49% of applicable service points meet all minimum conditions
6933b089-1a91-4763-b9a7-c1d4291505bf,kano,minjibir,kuru_health_post,1%–49% of applicable service points meet all minimum conditions
8041e8de-d476-4f3b-8cd8-6939f8f0bbe1,bauchi,katagum,matsango_azare_primary_health_centre,0% of applicable service points meet all minimum conditions
a94a7935-bd6c-4919-8e15-78894ec7e2bc,anambra,anambra_west,umuonuorah_primary_health_centre,0% of applicable service points meet all minimum conditions
0f65b12b-0004-47ba-a757-b2d7ffb5aabd,oyo,itesiwaju,out_ilesan_comprehensive_health_centre,50%–74% of applicable service points meet all minimum conditions
37133c70-be89-4238-87ff-e2687044cb18,anambra,anambra_west,obodo_o_t_u_primary_health_centre,0% of applicable service points meet all minimum conditions
0fb11850-e4bb-4a5e-b9ea-52cc201dff97,niger,paikoro,paiko_model_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
38f302cf-d962-47e8-94ae-303d72e32208,niger,lapai,muye_primary_health_centre,1%–49% of applicable service points meet all minimum conditions
8c0a288d-35ca-4b75-aae4-16d2e3149972,anambra,orumba_north,ugwu_awgbu_health_centre,0% of applicable service points meet all minimum conditions
57e949c7-c03f-48ca-acfa-bcad812feaa4,jigawa,babura,dorawa_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
9afb0bcf-5241-4fe0-bfb1-d6369321b859,jigawa,birniwa,fagi_primary_health_centre,50%–74% of applicable service points meet all minimum conditions
f4ea29f7-87d0-4367-b16c-3ef787d280c7,anambra,orumba_south,ogboji_primary_health_centre,0% of applicable service points meet all minimum conditions
0d640832-2738-4806-935e-42cd64a17228,adamawa,yola_north,jambutu_clinic,0% of applicable service points meet all minimum conditions
