facility_uuid,state,lga,facility,package,workbook_readiness,dashboard_readiness,power_fix,connectivity_fix
209d0ae6-a681-4bd2-a58f-86af5097758c,imo,nwangele,abajah_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
4dee31e8-b2b4-4854-99cd-68f5e9d930c5,kano,makoda,dawan_kaya_health_post,Full solar system only,Not ready,Ready,Full solar system,
d933c0c5-057f-4b75-914f-fc1e850faa25,akwa_ibom,ibesikpoasutan,ikot_atang_esen_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
a7e9f608-3d6a-4dd6-b6ae-a04424b80864,kano,makoda,wailare_health_post,Full solar system only,Not ready,Moderately ready,,Router
892cc4c0-b1be-441b-b8a0-fb18aafcff74,imo,nkwerre,onusa_mdgs_facility,Full solar system only,Not ready,Moderately ready,Full solar system,Router
e9a9f841-1bb1-47d0-bc02-2d3e9b2d612a,imo,orlu,ihiteowerre_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
e9a9f841-1bb1-47d0-bc02-2d3e9b2d612a,imo,orlu,ihiteowerre_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
4a8fa833-0962-4494-9680-c204328e300f,akwa_ibom,onna,ikot_idem_udo_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
4a8fa833-0962-4494-9680-c204328e300f,akwa_ibom,onna,ikot_idem_udo_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
74a52e67-e8f6-44ec-8681-40c63c039eb8,akwa_ibom,onna,edem_idim_ishiet_health_post,Router only,Ready,Moderately ready,Full solar system,Router
74a52e67-e8f6-44ec-8681-40c63c039eb8,akwa_ibom,onna,edem_idim_ishiet_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
3de350f9-f048-41ec-93c9-b3992a08e313,anambra,nnewi_north,uru_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
3de350f9-f048-41ec-93c9-b3992a08e313,anambra,nnewi_north,uru_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
dfda14b6-70c1-4800-bb58-19128ffa95ca,kano,karaye,zungurau_health_post,Full solar system only,Not ready,Moderately ready,Full solar system,Router
f3884408-2384-4c67-ab96-1730de70be3f,lagos,kosofe,isheri_olowora_primary_health_centre,FibreX only,Ready,Moderately ready,,Router
f3884408-2384-4c67-ab96-1730de70be3f,lagos,kosofe,isheri_olowora_primary_health_centre,Full solar system only,Not ready,Moderately ready,,Router
79bd8df6-fe04-4978-9e8b-4072e188b4d7,imo,oru_west,nempi_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
b0db69eb-41cb-435d-b0d8-a75a03210c89,imo,oru_west,ubulu_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
b0db69eb-41cb-435d-b0d8-a75a03210c89,imo,oru_west,ubulu_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
0703008e-b1de-4f48-8c21-a7b80228b89f,imo,oru_west,ibiasoegbe_health_centre,Full solar system only,Not ready,Moderately ready,,Router
ace179fb-9c8c-401a-9a68-9f9ccee09ab1,imo,oru_west,ozara_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
cb89f9c1-9b13-448b-9250-1cd7987307d4,imo,oru_west,aji_primary_health_centre,Router only,Ready,Moderately ready,Full solar system,Router
cb89f9c1-9b13-448b-9250-1cd7987307d4,imo,oru_west,aji_primary_health_centre,Full solar system only,Not ready,Moderately ready,Full solar system,Router
