Facility UUID,State,LGA,Facility name,Gap area,Gap condition,Intervention,When action is needed
f4b521ba-9844-405f-ae17-18e4dc1a989b,anambra,idemili_south,awada_nnobi_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
2a284cc1-f282-4af8-9d4f-7495b80e4d36,nasarawa,awe,abuni_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
1a2c149e-f969-42e0-9882-6d9f5d4d8fa5,anambra,idemili_south,ngo_nnobi_primary_health_centre_model,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
abf2a6fe-fd88-4d7e-b8d1-abef84aa954a,niger,mokwa,jebba_fsp,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
bbd58336-0d49-4815-bb50-a7723bb35934,anambra,awka_north,isuaniocha_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
59d7ddfa-7837-4d8f-8ff8-3ff4b1152f42,anambra,anaocha,ukunu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
fabd1f05-24d2-43d6-956b-4dd674ad4338,adamawa,yola_north,malamre_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
250cfbf3-9dd0-4d0d-a744-bbbb4dd340fa,niger,mokwa,muwo_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
41d37bbe-dc7d-40e4-a970-6bc8c9c6dd47,oyo,itesiwaju,ipapo_comprehensive_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
741faea0-7b0d-4a44-8102-5ba54051a51c,oyo,afijo,fiditi_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
3487e55e-1944-411d-95cd-b3ef1aa1655d,anambra,nnewi_south,afube_health_post,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
7cd0286a-9a40-4f7c-918b-5540b8fc648a,rivers,okrika,kalio_ama_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
b2ebd755-97d9-47c6-b265-0ce4bf0aa1e1,niger,gurara,shako_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
e9e675ff-9547-4140-ad61-75779c21ea93,imo,aboh_mbaise,nkwogwu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
93b15ea8-c105-4250-8f12-3f7cfcaf6697,rivers,abuaodual,arukwo_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
f9f1cc88-3581-4d37-a522-e7f5f504ae04,niger,paikoro,essan_nubupi_primary_health_centre,Device-maintenance,No maintenance schedule reported,Provide routine device maintenance and repair support.,minor
532e1b51-271d-401d-9ca0-1cda444ffc2d,anambra,anaocha,ichida_ubulu_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
68ea053f-a4d8-4a61-974c-549ee66ae4d1,kano,rimin_gado,gulu_model_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
a654b23f-98cc-48cf-86e1-9f8eb13657ae,anambra,onitsha_north,ascension_church_isiafor_primary_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
7066b257-e16f-4097-912d-34908d23785b,kano,rimin_gado,dawakin_gulu_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
b31b6ae6-bcb4-429a-a4bd-476af93dbb1e,kano,kibiya,gunda_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
b947bc38-981d-4d74-9234-ba2a7aaef0a1,kano,kibiya,durba_basic_health_clinic,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
f8827d2f-e3d1-42be-a348-6ef72c95e1ad,kano,rimin_gado,karofin_yashi_health_post,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
a2d169c6-48c1-4d6c-8f29-de387268a51b,nasarawa,nasarawa,kurudu_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
8f84625e-e109-4593-ae19-fb765ab46d50,oyo,itesiwaju,opoo_primary_health_centre,Device-maintenance,Maintenance only when devices fail or as needed,Provide routine device maintenance and repair support.,minor
cddb25af-3b39-48eb-a2ad-bfb3358d3f65,niger,mokwa,jaagi_basic_health_centre,Device-maintenance,No formal maintenance arrangement,Provide routine device maintenance and repair support.,minor
