Facility UUID,State,LGA,Facility name,Facility group,Functionality,Zone,Facility-connectivity gap value,Intervention,When action is needed,Cost 1 (NGN),Total gaps,Critical gaps,Total facility intervention cost (NGN)
bef6f105-d566-435d-a452-743889039016,Akwa Ibom,Ikot Abasi,Ikot Etetuk Health Centre,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"6,841,378"
9072abdc-a052-4149-94e4-897b0dfc5e15,Imo,Nwangele,Obodo Health Centre,BHCPF,Functional L1,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,2,"6,017,712"
faa9edf1-70bc-4642-9cda-1ebb5a16b4cc,Akwa Ibom,Essien Udim,Midim Atan Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,850,000"
ac4bbe81-cb54-402c-98aa-54cbb0f6a757,Akwa Ibom,Mbo,Udesi Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,1,"3,531,378"
ac6d7cb6-3dfd-457a-ac36-44ae69a93539,Lagos,Badagry,Morogbo Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,414,378"
9eeba443-5e00-4d75-aad1-4756eef96620,Rivers,Port Harcourt,Orogbum Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"2,954,712"
93cff47f-426d-42dc-aab6-e551adaf395a,Akwa Ibom,Itu,Mbak Itam 3 Health Centre,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"2,574,378"
50a5e0e5-da19-455f-93b4-af7a1cd12595,Akwa Ibom,Itu,Ntak Inyang Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"3,437,000"
16ecdeb0-9973-4a12-8f61-484a62eae4e8,Rivers,Ikwerre,Apani Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"2,932,712"
5b775c64-5722-4bc3-89b7-f86190fd5b51,Rivers,Port Harcourt,Churchillroad Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,1,"2,254,712"
bafad3a5-bc9f-4c26-83fe-a51f87db53e5,Rivers,Port Harcourt,Everywomancenter Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),7,1,"1,531,378"
1.23E+19,Lagos,Alimosho,Opeki Primary Health Centre,BHCPF,Functional L2,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),8,1,"2,607,000"
b1bf75b7-bb27-4076-b3a2-cd43b493e012,Lagos,Badagry,Ilogbo Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"2,239,712"
31ccafa8-cd74-4c2b-975d-e792937248c2,Akwa Ibom,Mbo,Ibaka Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),16,2,"5,989,378"
1a18cebf-64f5-4727-aab1-eea1331fe1ef,Akwa Ibom,Mkpat Enin,Ibekwe Akpan Nya Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,537,000"
022e76e3-06c9-460e-8838-ba3a1b180803,Akwa Ibom,Itu,Uyo Itam Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"3,524,378"
9f98910e-8c92-48a7-8525-92e0675059ed,Akwa Ibom,Ini,Usuk Ukwok Health Post,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),16,2,"7,359,378"
846930ae-4792-4ca2-ac95-eb00e09828fa,Akwa Ibom,Ini,Ikpe Ikot Nkon Health Centre,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,2,"7,379,378"
23757039-ce2b-4cb3-a88c-4f9df91010be,Akwa Ibom,Mbo,Eyo Ukut Enwang 1 Health Post,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),18,2,"7,439,378"
247b2809-c9cf-4e8d-b4ef-44eb92622d58,Akwa Ibom,Mbo,Enwang Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,1,"3,084,712"
a1149f56-97e8-4489-b60a-8f97ab38c1bb,Akwa Ibom,Itu,Ekritam Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"3,262,000"
1b8e8f7d-c6f4-465f-8b8e-929fca871811,Lagos,Badagry,Isamole Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),16,1,"7,404,378"
47f81bf8-ab48-4686-acd5-728d93d515e8,Lagos,Epe,Ilara Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,2,"6,484,378"
6a98b117-61fa-4595-a4b1-ac8af85667d2,Akwa Ibom,Mbo,Ebughu 1 Primary Health Centre,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,1,"3,169,378"
bccf3456-9898-47ca-af93-2d005b4636b0,Akwa Ibom,Oruk Anam,Ikot Otok Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"7,537,000"
d2389458-ac07-4a7d-9bde-9d59d43eb2f1,Lagos,Badagry,Mowo Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"6,722,712"
41b82696-f8e4-47e0-adbd-5b8fdcc2d3b4,Bauchi,Shira,Tsafi Maternal And Child Health,BHCPF,Functional L1,North East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"1,714,712"
477c798d-edcf-4526-a636-4db5c35faf03,Akwa Ibom,Ikono,Asanting Ikono Immunization Primary Health Centre,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,2,"7,309,378"
63cc4026-6791-4cf5-9251-a67b1e50fe79,Akwa Ibom,Oruk Anam,Ikot Akpan Essien Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"6,882,000"
db342331-a4ff-4eab-9088-0b1a447436e4,Lagos,Badagry,Ilado Primary Health Centre,BHCPF,Functional L2,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),11,1,"3,382,712"
018adde1-9eb5-4429-b25d-d8d8eb936234,Imo,Nwangele,Umuanya Maternal And Child Health,BHCPF,Functional L1,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),12,1,"6,329,712"
52bf1b3a-5c58-4560-9433-1c2f5298b1fa,Akwa Ibom,Oron,Esuk Oro Health Post,BHCPF,Partially Functional,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,2,"6,639,378"
186aa04e-529d-4978-b2fd-5f9500106923,Imo,Nwangele,Abba Health Centre,BHCPF,Functional L1,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,2,"6,767,712"
3eab9760-ff28-4b28-9f00-4446d1da72e6,Rivers,Ikwerre,Elele Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),8,1,"2,090,333"
34465bab-5717-482d-9b82-dca99406c163,Lagos,Kosofe,Mende Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),9,1,"2,215,333"
8ad07038-28d3-4965-8065-a1df354efcd3,Akwa Ibom,Abak,Ikot Edong Health Post,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,2,"7,234,378"
4f9573cb-86d9-45b4-9ffc-e7cfe8d8707b,Akwa Ibom,Oron,Afaha Eduok Ukpata Primary Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,1,"6,316,378"
31d685df-a681-42ff-ae4c-bdadb02ab64b,Akwa Ibom,Itu,Ikot Andem Health Centre,BHCPF,Functional L1,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),15,1,"4,754,378"
6a8cd5d1-599e-4eaf-8478-ef47ca70546f,Akwa Ibom,Itu,Mbak Atai Operational Base Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"2,902,712"
daba4976-f88d-4409-8f71-6ee1578549ea,Adamawa,Song,Sigire Health Centre,BHCPF,Functional L1,North East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"3,222,712"
4c13c8ce-f6a3-41ab-890d-35b45ad29bb6,Rivers,Obioakpor,Rumuigbo Primary Health Centre,BHCPF,Functional L2,South South,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"1,919,712"
a32f5bee-a1fe-43d6-8c14-05e74feb21f9,Anambra,Oyi,Achallagu Health Clinic,Non-BHCPF,Partially Functional,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),14,1,"7,934,378"
f3884408-2384-4c67-ab96-1730de70be3f,Lagos,Kosofe,Isheri Olowora Primary Health Centre,BHCPF,Functional L1,South West,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),9,1,"2,895,333"
59f202ff-6b84-47a9-8e05-b684312c7080,Imo,Ehime Mbano,Osuru Primary Health Centre,BHCPF,Functional L1,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),13,1,"7,079,712"
83250a23-1a4d-47bf-a32a-d3761952dbfe,Anambra,Onitsha South,Redemption Primary Health Centre,BHCPF,Functional L1,South East,No internet access or network coverage,"Check which connection works at the facility, then use one: FibreX, managed mobile internet, fixed radio, satellite or network extension.",Critical gap to fix before EMR deployment,(blank),10,1,"2,604,378"
