Facility UUID,State,LGA,Facility name,Facility group,Functionality,Zone,Facility-connectivity gap value,Intervention,When action is needed,Cost 1 (NGN),Total gaps,Critical gaps,Total facility intervention cost (NGN)
25efdb78-2edc-4e60-b357-27ef5ba75dd1,Jigawa,Miga,Koya Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,637,000"
175db93c-4fd4-4ec3-ae19-0ee60fc3634a,Anambra,Anaocha,Adazi Nnukwu 2 Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"6,605,000"
3287f387-9f99-454d-9973-0b27ce754c34,Jigawa,Gwaram,Kila Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"1,680,333"
abd9eeb9-2f10-4dff-8d1b-9f71c971df00,Kano,Dawakin Tofa,Dawaki Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"3,224,378"
557441b2-eb1b-495d-b265-900697cc90b6,Anambra,Orumba South,Lomu Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,11,1,"5,933,333"
7112847b-1662-4e9c-8a38-d313062aea1b,Kano,Garun Malam,Yanaba Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,14,0,"7,512,712"
6b6f67ad-02cf-4504-8884-3448a7a71ac3,Kano,Garun Malam,Garun Babba Primary Health Centre,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"2,995,333"
96ddca97-8a68-4914-a31e-4e1446acc885,Kano,Rimin Gado,Butu Butu Model Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,12,0,"2,954,712"
b4528a8b-73fb-4440-acab-82c8da257b36,Kano,Garun Malam,Garun Malan Basic Health Clinic,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"7,124,712"
fbe76560-d747-4d50-b0b0-a358cc5f54c3,Anambra,Orumba South,Umunebo Ogbunka Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,7,0,"1,064,378"
e2aa0af9-c969-4924-8309-7b01f7b85dfe,Anambra,Orumba South,Ogbunka Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,6,0,"2,204,378"
f50ac75d-dc7f-4b8d-b680-ebcf90b64182,Anambra,Nnewi South,Isoke Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,11,1,"4,619,378"
e2602f8d-947d-4bde-a2c4-64e1d97a39b3,Kano,Bichi,Chiromawa Basic Health Clinic,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"7,920,333"
ac363225-249a-4d83-b220-2037bb99eacc,Jigawa,Birnin Kudu,Bamaina Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"5,965,333"
6bb0bd9f-b7e0-43b6-a6af-76c1a5d8c91a,Kano,Gabasawa,Gabasawa Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,8,0,"2,585,000"
835aa881-33f5-4d8e-8208-2f2ffbf40d23,Anambra,Anambra East,Enugwu Aguleri Primary Health Centre,BHCPF,Functional L1,South East,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,6,0,"1,782,000"
945a166a-34bd-4b6d-b4fe-5ea9e2e752e5,Kano,Doguwa,Dadin Kowa Health Post,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,11,0,"6,019,712"
42c07ae5-b790-4f9c-b21c-95455f347d78,Kano,Warawa,Danlassan Primary Health Centre,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"2,772,712"
0373ebb5-e61c-40b2-8164-c4d8f383c166,Kano,Tofa,Tofa Comprehensive Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"6,911,378"
57738931-8df3-4c4d-9042-ddfb881369a9,Kano,Warawa,Jemagu Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,1,"5,059,712"
22f8ab25-8dcf-4a66-9814-4060b66a8350,Kano,Warawa,Warawa Primary Health Centre,BHCPF,Functional L2,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"7,839,712"
f5bf4aea-0fa6-4107-991e-093f423958c0,Kano,Bagwai,Kiyawa Basic Health Clinic,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"3,055,333"
7c70e787-5f75-4784-b847-0df9c0a5f690,Kano,Bagwai,Gogori Basic Health Clinic,BHCPF,Partially Functional,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"7,154,712"
69926591-683c-4935-8463-750240d2e27b,Kano,Warawa,Tanagar Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,9,0,"2,424,712"
2d3b011f-3b73-4b94-abd6-a48d3bb3021d,Kano,Warawa,Jumar Galadima Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,13,0,"7,472,712"
743c2485-83a8-4e48-b4ef-598e867918e4,Kano,Tofa,Janguza Health Post,BHCPF,Functional L1,North West,Facility-managed connection at or above 5 Mbps and consistently reliable,,,0,10,0,"6,299,712"
