facility_uuid,state,lga,facility,gap_area,action,when_action_is_needed,cost_ngn
1dd2706f-c7e8-42ba-b695-8497274b79cc,imo,onuimo,umuduru_primary_health_centre_on,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
b1bf75b7-bb27-4076-b3a2-cd43b493e012,lagos,badagry,ilogbo_primary_health_centre,Wiring,Install 4 socket points,Minor action to complete during EMR deployment,12000
5cc18688-1841-4222-bd42-859b8ada4966,akwa_ibom,abak,ikot_akpan_ikpong_health_centre,Wiring,Install 3 socket points,Minor action to complete during EMR deployment,9000
5e7ee70e-1b0a-40c4-b093-78b20012c9a1,rivers,ahoada_east,okporowo_model_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
24868cec-897e-471f-bd1d-94d731023494,kano,sumaila,sitti_basic_health_clinic,Physical service-point,Procure 1 electric fan,Minor action to complete during EMR deployment,60000
839834d7-d35e-4105-a001-4bfc00c34084,bauchi,warji,zurgwai_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
198ddd18-9100-437b-8e9d-f6c82aeb6305,bauchi,warji,dagu_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
43710a3c-48fe-4e66-8d14-1b1cf39d2bcd,bauchi,warji,burarana_primary_health_centre,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
cb7696ee-a145-49d4-958e-837ee726d2cb,bauchi,warji,katanga_primary_health_centre_warji,Physical service-point,Confirm whether a lockable door is required for 1 affected service point before costing.,Minor action to complete during EMR deployment,0
3d9a9f16-370d-4f41-9e05-35c7b3d060cf,rivers,ahoada_east,odiabidi_primary_health_centre,Wiring,Install 2 socket points,Minor action to complete during EMR deployment,6000
a1149f56-97e8-4489-b60a-8f97ab38c1bb,akwa_ibom,itu,ekritam_primary_health_centre,Wiring,Install 1 socket point,Minor action to complete during EMR deployment,3000
0bd29362-17d1-4160-a468-ddc13fc2a7b0,akwa_ibom,mkpat_enin,minya_health_centre,Wiring,Install 5 socket points,Minor action to complete during EMR deployment,15000
